position,noseX,noseY,neckX,neckY,rshoulderX,rshoulderY,relbowX,relbowY,rwristX,rwristY,lshoulderX,lshoulderY,lelbowX,lelbowY,lwristX,lwristY,midhipX,midhipY,rhipX,rhipY,rkneeX,rkneeY,rankleX,rankleY,lhipX,lhipY,lkneeX,lkneeY,lankleX,lankleY,reyeX,reyeY,leyeX,leyeY
standing,0.2265625,0.8444444444444444,0.228125,0.775,0.18125,0.775,0.171875,0.6722222222222223,0.0,0.0,0.275,0.7777777777777778,0.2796875,0.6777777777777778,0.2671875,0.6194444444444445,0.1953125,0.6138888888888889,0.20625,0.4805555555555555,0.2171875,0.36388888888888893,0.246875,0.6111111111111112,0.2421875,0.4722222222222222,0.228125,0.37777777777777777,0.2171875,0.8527777777777777,0.2359375,0.8527777777777777,0.203125,0.85
standing,0.128125,0.8583333333333334,0.1296875,0.7944444444444445,0.0921875,0.7972222222222223,0.08125,0.7194444444444444,0.0765625,0.6694444444444445,0.1609375,0.7944444444444445,0.0,0.0,0.0,0.0,0.096875,0.6555555555555556,0.1109375,0.5611111111111111,0.1203125,0.41388888888888886,0.1453125,0.6583333333333333,0.140625,0.55,0.128125,0.4277777777777778,0.121875,0.8666666666666667,0.1359375,0.8638888888888889,0.1140625,0.8611111111111112
standing,0.875,0.85,0.871875,0.7888888888888889,0.828125,0.7916666666666666,0.81875,0.7222222222222222,0.825,0.6916666666666667,0.9109375,0.7833333333333333,0.9265625,0.7083333333333333,0.928125,0.6388888888888888,0.8453125,0.65,0.846875,0.5194444444444444,0.853125,0.41388888888888886,0.89375,0.6472222222222221,0.8796875,0.5222222222222221,0.8640625,0.3916666666666667,0.8671875,0.8611111111111112,0.8828125,0.8611111111111112,0.8546875,0.8555555555555556
standing,0.4875,0.8555555555555556,0.4875,0.7666666666666666,0.4234375,0.7694444444444444,0.4046875,0.6694444444444445,0.3984375,0.5888888888888889,0.5546875,0.7694444444444444,0.5640625,0.6805555555555556,0.575,0.5416666666666667,0.453125,0.5416666666666667,0.45625,0.3583333333333333,0.4703125,0.18888888888888888,0.528125,0.5416666666666667,0.509375,0.37222222222222223,0.4890625,0.18888888888888888,0.471875,0.875,0.5,0.8777777777777778,0.4546875,0.8722222222222222
standing,0.75,0.8416666666666667,0.75625,0.7777777777777778,0.7171875,0.7777777777777778,0.70625,0.7138888888888889,0.7265625,0.6277777777777778,0.8015625,0.775,0.8109375,0.7,0.0,0.0,0.7453125,0.6166666666666667,0.7421875,0.4805555555555555,0.753125,0.35277777777777775,0.7875,0.6111111111111112,0.7703125,0.47777777777777775,0.7640625,0.3388888888888889,0.740625,0.8527777777777777,0.7578125,0.8527777777777777,0.728125,0.8444444444444444
standing,0.7796875,0.675,0.8046875,0.6083333333333334,0.7765625,0.6166666666666667,0.75625,0.5361111111111111,0.0,0.0,0.8359375,0.6,0.8453125,0.5083333333333333,0.8171875,0.44999999999999996,0.7640625,0.42500000000000004,0.7625,0.2666666666666667,0.7578125,0.1611111111111111,0.8234375,0.4083333333333333,0.8234375,0.25555555555555554,0.8203125,0.1527777777777778,0.778125,0.6861111111111111,0.7859375,0.6833333333333333,0.0,0.0
standing,0.7046875,0.7055555555555555,0.690625,0.6472222222222221,0.653125,0.6583333333333333,0.6265625,0.5666666666666667,0.634375,0.48888888888888893,0.7328125,0.6388888888888888,0.7484375,0.5305555555555556,0.7390625,0.4472222222222222,0.6578125,0.4638888888888889,0.6625,0.3138888888888889,0.6796875,0.1777777777777778,0.7078125,0.45833333333333337,0.690625,0.31666666666666665,0.68125,0.18611111111111112,0.6953125,0.7166666666666667,0.7109375,0.7166666666666667,0.6796875,0.7222222222222222
standing,0.421875,0.8166666666666667,0.4265625,0.7583333333333333,0.359375,0.7583333333333333,0.3203125,0.6611111111111111,0.340625,0.7222222222222222,0.4890625,0.7472222222222222,0.5109375,0.625,0.471875,0.6638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.5015625,0.49722222222222223,0.5015625,0.3416666666666667,0.5140625,0.19166666666666665,0.4125,0.8305555555555555,0.4359375,0.8305555555555555,0.4015625,0.8277777777777777
standing,0.6734375,0.625,0.678125,0.5944444444444444,0.6578125,0.5944444444444444,0.6453125,0.5222222222222221,0.6421875,0.4638888888888889,0.7015625,0.5944444444444444,0.715625,0.5277777777777778,0.7109375,0.46111111111111114,0.6625,0.44999999999999996,0.665625,0.3555555555555555,0.6671875,0.26111111111111107,0.6921875,0.4527777777777777,0.696875,0.3555555555555555,0.690625,0.28055555555555556,0.66875,0.6333333333333333,0.678125,0.6361111111111111,0.6640625,0.6388888888888888
standing,0.5875,0.5805555555555555,0.584375,0.5472222222222223,0.5671875,0.5444444444444445,0.55625,0.4805555555555555,0.553125,0.41666666666666663,0.6,0.55,0.6125,0.5083333333333333,0.6328125,0.44999999999999996,0.5734375,0.4083333333333333,0.578125,0.33611111111111114,0.584375,0.26388888888888884,0.6,0.41666666666666663,0.5984375,0.3388888888888889,0.596875,0.2694444444444445,0.5828125,0.5888888888888889,0.5921875,0.5888888888888889,0.575,0.5861111111111111
