position,noseX,noseY,neckX,neckY,rshoulderX,rshoulderY,relbowX,relbowY,rwristX,rwristY,lshoulderX,lshoulderY,lelbowX,lelbowY,lwristX,lwristY,midhipX,midhipY,rhipX,rhipY,rkneeX,rkneeY,rankleX,rankleY,lhipX,lhipY,lkneeX,lkneeY,lankleX,lankleY,reyeX,reyeY,leyeX,leyeY
sitting,0.0,0.0,0.11585365853658537,0.7608695652173914,0.125,0.7608695652173914,0.125,0.7282608695652174,0.1402439024390244,0.7173913043478262,0.10975609756097561,0.7663043478260869,0.0,0.0,0.0,0.0,0.10670731707317073,0.7065217391304348,0.12804878048780488,0.7065217391304348,0.10975609756097561,0.6521739130434783,0.09451219512195122,0.7173913043478262,0.11890243902439024,0.7010869565217391,0.0975609756097561,0.6576086956521738,0.0,0.0,0.0,0.0,0.12804878048780488,0.7771739130434783
sitting,0.0,0.0,0.23170731707317074,0.7934782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2225609756097561,0.7391304347826086,0.22865853658536586,0.7065217391304348,0.22560975609756098,0.6630434782608696,0.22560975609756098,0.7336956521739131,0.22560975609756098,0.7010869565217391,0.22560975609756098,0.6576086956521738,0.0,0.0,0.0,0.0,0.0,0.0
standing,0.4481707317073171,0.8369565217391304,0.45121951219512196,0.75,0.4146341463414634,0.7445652173913043,0.39634146341463417,0.6358695652173914,0.3475609756097561,0.6086956521739131,0.4878048780487805,0.75,0.5091463414634146,0.6413043478260869,0.5579268292682927,0.6141304347826086,0.43597560975609756,0.5434782608695652,0.45121951219512196,0.375,0.4573170731707317,0.22282608695652173,0.4817073170731707,0.5543478260869565,0.47865853658536583,0.40217391304347827,0.47865853658536583,0.30434782608695654,0.43902439024390244,0.8478260869565217,0.45426829268292684,0.8478260869565217,0.4298780487804878,0.8315217391304348
standing,0.6615853658536586,0.5923913043478262,0.6920731707317073,0.5652173913043479,0.6859756097560976,0.5597826086956521,0.6615853658536586,0.4836956521739131,0.6219512195121951,0.4836956521739131,0.698170731707317,0.5815217391304348,0.6646341463414634,0.5163043478260869,0.625,0.4945652173913043,0.7012195121951219,0.3913043478260869,0.7012195121951219,0.2717391304347826,0.7286585365853658,0.15760869565217395,0.7195121951219512,0.3967391304347826,0.7164634146341463,0.2717391304347826,0.7439024390243902,0.13586956521739135,0.0,0.0,0.6615853658536586,0.6032608695652174,0.0,0.0
sitting,0.725609756097561,0.8097826086956521,0.7530487804878049,0.7065217391304348,0.6829268292682927,0.6956521739130435,0.6554878048780488,0.5108695652173914,0.7012195121951219,0.5706521739130435,0.8201219512195121,0.7119565217391304,0.8597560975609756,0.5815217391304348,0.8810975609756098,0.5,0.7134146341463414,0.3804347826086957,0.0,0.0,0.0,0.0,0.7957317073170732,0.40760869565217395,0.8445121951219512,0.40217391304347827,0.8567073170731707,0.08695652173913049,0.7164634146341463,0.8369565217391304,0.7408536585365854,0.8369565217391304,0.0,0.0
sitting,0.6737804878048781,0.7282608695652174,0.7591463414634146,0.6141304347826086,0.7896341463414634,0.6358695652173914,0.7103658536585366,0.5434782608695652,0.6829268292682927,0.6304347826086957,0.7286585365853658,0.5978260869565217,0.6890243902439024,0.3695652173913043,0.6432926829268293,0.25,0.7835365853658537,0.2119565217391305,0.6310975609756098,0.13586956521739135,0.676829268292683,0.03260869565217395,0.7286585365853658,0.2119565217391305,0.5121951219512195,0.2065217391304348,0.0,0.0,0.0,0.0,0.6798780487804879,0.7554347826086957,0.0,0.0
sitting,0.3201219512195122,0.6847826086956521,0.25,0.5489130434782609,0.25914634146341464,0.5434782608695652,0.27134146341463417,0.34782608695652173,0.3384146341463415,0.27717391304347827,0.23780487804878048,0.5543478260869565,0.2774390243902439,0.3695652173913043,0.3231707317073171,0.3315217391304348,0.24390243902439024,0.23913043478260865,0.42378048780487804,0.18478260869565222,0.36585365853658536,0.02717391304347827,0.2621951219512195,0.2663043478260869,0.39634146341463417,0.2065217391304348,0.0,0.0,0.3079268292682927,0.7010869565217391,0.0,0.0,0.27439024390243905,0.6793478260869565
standing,0.625,0.2934782608695652,0.6341463414634146,0.27717391304347827,0.6219512195121951,0.27717391304347827,0.6189024390243902,0.24456521739130432,0.6189024390243902,0.22282608695652173,0.6432926829268293,0.28260869565217395,0.6554878048780488,0.25,0.649390243902439,0.2282608695652174,0.6280487804878049,0.22282608695652173,0.625,0.18478260869565222,0.6280487804878049,0.15217391304347827,0.6432926829268293,0.22282608695652173,0.6463414634146342,0.19021739130434778,0.6585365853658537,0.1630434782608695,0.6219512195121951,0.29891304347826086,0.6280487804878049,0.29891304347826086,0.0,0.0
standing,0.9146341463414634,0.2934782608695652,0.9237804878048781,0.28260869565217395,0.9176829268292683,0.27717391304347827,0.9146341463414634,0.2554347826086957,0.9146341463414634,0.24456521739130432,0.9298780487804879,0.28260869565217395,0.9390243902439024,0.26086956521739135,0.9359756097560976,0.23913043478260865,0.9237804878048781,0.23913043478260865,0.9207317073170732,0.2119565217391305,0.9207317073170732,0.19021739130434778,0.9329268292682927,0.24456521739130432,0.9420731707317073,0.22282608695652173,0.9512195121951219,0.19021739130434778,0.9146341463414634,0.29891304347826086,0.9176829268292683,0.29891304347826086,0.0,0.0
standing,0.3353658536585366,0.9130434782608696,0.24085365853658536,0.7880434782608696,0.32621951219512196,0.7880434782608696,0.42378048780487804,0.7065217391304348,0.5182926829268293,0.6141304347826086,0.13109756097560976,0.7934782608695652,0.0975609756097561,0.6739130434782609,0.14634146341463414,0.5706521739130435,0.3170731707317073,0.44565217391304346,0.27439024390243905,0.32608695652173914,0.3018292682926829,0.13586956521739135,0.20426829268292682,0.44565217391304346,0.2621951219512195,0.3097826086956522,0.3048780487804878,0.13043478260869568,0.3231707317073171,0.9293478260869565,0.0,0.0,0.2896341463414634,0.907608695652174
